Problema;Algoritmo;bhv;hv;gd;igd;igdp;bspread;spread
ZDT4;NSGAII;0.6661736173;0.1711381047;0.1203223607;0.0127295888;0.3964275314;0.0000000000;0.9290299436
ZDT4;MyNSGAII;0.6661736173;0.4284254123;0.0266846615;0.0051727715;0.1621817696;0.0000000000;0.7970601556
ZDT4;NSGAII;0.6661736173;0.3292690924;0.0683421775;0.0075133533;0.2344215891;0.0000000000;0.7766838287
ZDT4;MyNSGAII;0.6661736173;0.4319910664;0.0102260226;0.0078957035;0.1854577409;0.0000000000;1.1701004232
ZDT4;NSGAII;0.6661736173;0.2751321074;0.0665551674;0.0083026065;0.2573115674;0.0000000000;0.7766659339
ZDT4;MyNSGAII;0.6661736173;0.3815865162;0.0505730383;0.0057273124;0.1782681038;0.0000000000;0.7010469524
ZDT4;NSGAII;0.6661736173;0.1461171282;0.1552071635;0.0140925897;0.4422134604;0.0000000000;0.7920799623
ZDT4;MyNSGAII;0.6661736173;0.6347233767;0.0012013046;0.0007564062;0.0179184698;0.0000000000;0.8107742006
ZDT4;NSGAII;0.6661736173;0.0280112325;0.1724706851;0.0200313548;0.6323612362;0.0000000000;0.7598171772
ZDT4;MyNSGAII;0.6661736173;0.3376840878;0.0151431739;0.0081910663;0.2584745358;0.0000000000;0.5448960341
ZDT4;NSGAII;0.6661736173;0.2266294329;0.1345907538;0.0108388744;0.3382518219;0.0000000000;0.8250710264
ZDT4;MyNSGAII;0.6661736173;0.6432993802;0.0010938644;0.0004669947;0.0131952694;0.0000000000;0.6881131053
ZDT4;NSGAII;0.6661736173;0.4538895079;0.0367201478;0.0049116302;0.1489342254;0.0000000000;0.7814334380
ZDT4;MyNSGAII;0.6661736173;0.3114826180;0.0517421186;0.0109493687;0.2937271086;0.0000000000;1.1495256092
ZDT4;NSGAII;0.6661736173;0.2776712623;0.0431318095;0.0094636686;0.2984986449;0.0000000000;0.7950376526
ZDT4;MyNSGAII;0.6661736173;0.6558424703;0.0003828580;0.0002121391;0.0062858694;0.0000000000;0.6278913647
ZDT4;NSGAII;0.6661736173;0.0079310763;0.1486136194;0.0228875152;0.7189314531;0.0000000000;0.7903560169
ZDT4;MyNSGAII;0.6661736173;0.6577995231;0.0002897061;0.0001803554;0.0050968979;0.0000000000;0.6438539103
ZDT4;NSGAII;0.6661736173;0.1856879730;0.0680003987;0.0118334149;0.3722178298;0.0000000000;0.8376882616
ZDT4;MyNSGAII;0.6661736173;0.5224733361;0.0032468039;0.0089138019;0.1326380456;0.0000000000;0.8574017233
ZDT4;NSGAII;0.6661736173;0.0515855292;0.1625375120;0.0193858149;0.6113654092;0.0000000000;0.8805785677
ZDT4;MyNSGAII;0.6661736173;0.6504582471;0.0004364601;0.0004542916;0.0096940295;0.0000000000;0.7088765428
ZDT4;NSGAII;0.6661736173;0.3439141383;0.0803434090;0.0071463220;0.2238488973;0.0000000000;0.7782575404
ZDT4;MyNSGAII;0.6661736173;0.6496662415;0.0003121565;0.0012790493;0.0129064505;0.0000000000;0.7462632094
ZDT4;NSGAII;0.6661736173;0.0854148169;0.1648194977;0.0153697330;0.4842199059;0.0000000000;0.7478085420
